State,Male,Female,StateTotal
Alabama,29.05%,70.95%,23395
Alaska,38.16%,61.84%,608
Arizona,39.04%,60.96%,12400
Arkansas,30.40%,69.60%,18159
California,38.23%,61.77%,107923
Colorado,33.71%,66.29%,16537
Connecticut,30.63%,69.38%,25760
Delaware,32.56%,67.44%,4309
Florida,34.68%,65.32%,76811
Georgia,31.61%,68.39%,34828
Hawaii,33.66%,66.34%,3829
Idaho,36.86%,63.14%,4205
Illinois,36.34%,63.66%,75577
Indiana,29.71%,70.29%,40648
Iowa,30.42%,69.58%,25342
Kansas,32.07%,67.93%,18781
Kentucky,28.76%,71.24%,23397
Louisiana,35.89%,64.11%,26426
Maine,30.70%,69.30%,6479
Maryland,33.93%,66.07%,25644
Massachusetts,30.96%,69.04%,43626
Michigan,30.37%,69.63%,41618
Minnesota,31.59%,68.41%,28351
Mississippi,31.66%,68.34%,16234
Missouri,31.88%,68.12%,38748
Montana,35.91%,64.09%,4831
Nebraska,31.47%,68.53%,12545
Nevada,39.53%,60.47%,5214
New Hampshire,27.44%,72.56%,7029
New Jersey,34.08%,65.92%,47233
New Mexico,36.91%,63.09%,6031
New York,34.31%,65.69%,112032
North Carolina,30.47%,69.53%,38335
North Dakota,30.89%,69.11%,5665
Ohio,32.89%,67.11%,80115
Oklahoma,30.22%,69.78%,19379
Oregon,37.88%,62.12%,7846
Pennsylvania,30.54%,69.46%,82030
Rhode Island,27.74%,72.26%,8265
South Carolina,31.17%,68.83%,17400
South Dakota,31.33%,68.67%,6327
Tennessee,30.51%,69.49%,31789
Texas,34.05%,65.95%,100778
Utah,38.78%,61.22%,5835
Vermont,33.19%,66.81%,2856
Virginia,32.13%,67.87%,29750
Washington,35.63%,64.37%,18003
West Virginia,28.30%,71.70%,9727
Wisconsin,32.37%,67.63%,29488
Wyoming,30.96%,69.04%,2345
